,cars,rcProb,slow CPs,fast CPs,min cost
0,15.0,0.1,3.0,3.0,488382.6
1,15.0,0.2,3.0,3.0,488382.6
2,15.0,0.3,3.0,3.0,488382.6
3,15.0,0.4,3.0,3.0,488382.6
4,15.0,0.5,3.0,3.0,488382.6
5,20.0,0.1,3.0,3.0,635094.4
6,20.0,0.2,3.0,3.0,635094.4
7,20.0,0.3,3.0,3.0,635094.4
8,20.0,0.4,3.0,3.0,635094.4
9,20.0,0.5,3.0,3.0,635094.4
10,25.0,0.1,3.0,3.0,781697.0
11,25.0,0.2,3.0,3.0,781697.0
12,25.0,0.3,3.0,3.0,781697.0
13,25.0,0.4,3.0,3.0,781697.0
14,25.0,0.5,3.0,3.0,781697.0
15,30.0,0.1,5.0,3.0,961957.2
16,30.0,0.2,5.0,3.0,961957.2
17,30.0,0.3,4.0,3.0,955523.2740740741
18,30.0,0.4,4.0,3.0,949147.2555555556
19,30.0,0.5,4.0,3.0,945321.6444444444
