car;mileage;mpkw
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
0;16;4
