"car";"day";"shift"
0;"2019-01-01";["06:00:00-13:00:00","17:00:00-19:00:00"]
0;"2019-01-02";["06:00:00-13:00:00","17:00:00-19:00:00"]
0;"2019-01-03";["06:00:00-13:00:00","17:00:00-19:00:00"]
0;"2019-01-04";["06:00:00-13:00:00","17:00:00-19:00:00"]
0;"2019-01-05";["06:00:00-13:00:00","17:00:00-19:00:00"]
1;"2019-01-01";["08:00:00-13:00:00","15:30:00-18:00:00","20:30:00-22:00:00"]
1;"2019-01-02";["08:00:00-13:00:00","15:30:00-18:00:00","20:30:00-22:00:00"]
1;"2019-01-03";["08:00:00-13:00:00","15:30:00-18:00:00","20:30:00-22:00:00"]
1;"2019-01-04";["08:00:00-13:00:00","15:30:00-18:00:00","20:30:00-22:00:00"]
1;"2019-01-05";["08:00:00-13:00:00","15:30:00-18:00:00","20:30:00-22:00:00"]
2;"2019-01-01";["07:30:00-12:00:00","16:00:00-18:30:00"]
2;"2019-01-02";["07:30:00-12:00:00","16:00:00-18:30:00"]
2;"2019-01-03";["07:30:00-12:00:00","16:00:00-18:30:00"]
2;"2019-01-04";["07:30:00-12:00:00","16:00:00-18:30:00"]
2;"2019-01-05";["07:30:00-12:00:00","16:00:00-18:30:00"]
3;"2019-01-01";["07:00:00-12:30:00","15:30:00-18:00:00"]
3;"2019-01-02";["07:00:00-12:30:00","15:30:00-18:00:00"]
3;"2019-01-03";["07:00:00-12:30:00","15:30:00-18:00:00"]
3;"2019-01-04";["07:00:00-12:30:00","15:30:00-18:00:00"]
3;"2019-01-05";["07:00:00-12:30:00","15:30:00-18:00:00"]
