car;mileage;mpkw
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
0;12;4
