"car";"day";"shift"
0;"2019-01-01";["06:00:00-14:00:00","19:00:00-23:59:59"]
0;"2019-01-02";["00:00:00-03:00:00","08:00:00-16:00:00"]
0;"2019-01-03";["11:00:00-19:00:00"]
0;"2019-01-04";["00:00:00-08:00:00","13:00:00-21:00:00"]
0;"2019-01-05";["15:00:00-23:00:00"]
1;"2019-01-01";["06:00:00-14:00:00","19:00:00-23:59:59"]
1;"2019-01-02";["00:00:00-03:00:00","08:00:00-16:00:00"]
1;"2019-01-03";["11:00:00-19:00:00"]
1;"2019-01-04";["00:00:00-08:00:00","13:00:00-21:00:00"]
1;"2019-01-05";["15:00:00-23:00:00"]
2;"2019-01-01";["06:00:00-14:00:00"]
2;"2019-01-02";["08:00:00-16:00:00","21:00:00-23:59:59"]
2;"2019-01-03";["00:00:00-05:00:00","11:00:00-19:00:00"]
2;"2019-01-04";["13:00:00-21:00:00"]
2;"2019-01-05";["02:00:00-10:00:00","15:00:00-23:00:00"]
3;"2019-01-01";["06:00:00-14:00:00"]
3;"2019-01-02";["08:00:00-16:00:00","21:00:00-23:59:59"]
3;"2019-01-03";["00:00:00-05:00:00","11:00:00-19:00:00"]
3;"2019-01-04";["13:00:00-21:00:00"]
3;"2019-01-05";["02:00:00-10:00:00","15:00:00-23:00:00"]
4;"2019-01-01";["07:00:00-13:00:00","15:00:00-21:00:00"]
4;"2019-01-02";["07:00:00-13:00:00","15:00:00-21:00:00"]
4;"2019-01-03";["07:00:00-13:00:00","15:00:00-21:00:00"]
4;"2019-01-04";["07:00:00-13:00:00","15:00:00-21:00:00"]
4;"2019-01-05";["07:00:00-13:00:00","15:00:00-21:00:00"]
5;"2019-01-01";["08:00:00-14:00:00","16:00:00-22:00:00"]
5;"2019-01-02";["08:00:00-14:00:00","16:00:00-22:00:00"]
5;"2019-01-03";["08:00:00-14:00:00","16:00:00-22:00:00"]
5;"2019-01-04";["08:00:00-14:00:00","16:00:00-22:00:00"]
5;"2019-01-05";["08:00:00-14:00:00","16:00:00-22:00:00"]
6;"2019-01-01";["09:00:00-15:00:00","17:00:00-23:00:00"]
6;"2019-01-02";["09:00:00-15:00:00","17:00:00-23:00:00"]
6;"2019-01-03";["09:00:00-15:00:00","17:00:00-23:00:00"]
6;"2019-01-04";["09:00:00-15:00:00","17:00:00-23:00:00"]
6;"2019-01-05";["09:00:00-15:00:00","17:00:00-23:00:00"]
7;"2019-01-01";["10:00:00-16:00:00","18:00:00-00:00:00"]
7;"2019-01-02";["10:00:00-16:00:00","18:00:00-00:00:00"]
7;"2019-01-03";["10:00:00-16:00:00","18:00:00-00:00:00"]
7;"2019-01-04";["10:00:00-16:00:00","18:00:00-00:00:00"]
7;"2019-01-05";["10:00:00-16:00:00","18:00:00-00:00:00"]
