"car";"day";"shift"
0;"2019-01-01";["07:30:00-13:30:00","15:00:00-18:00:00"]
0;"2019-01-02";["07:30:00-13:30:00","15:00:00-18:00:00"]
0;"2019-01-03";["07:30:00-13:30:00","15:00:00-18:00:00"]
0;"2019-01-04";["07:30:00-13:30:00","15:00:00-18:00:00"]
0;"2019-01-05";["07:30:00-13:30:00","15:00:00-18:00:00"]
1;"2019-01-01";["09:00:00-13:00:00","17:00:00-20:00:00"]
1;"2019-01-02";["09:00:00-13:00:00","17:00:00-20:00:00"]
1;"2019-01-03";["09:00:00-13:00:00","17:00:00-20:00:00"]
1;"2019-01-04";["09:00:00-13:00:00","17:00:00-20:00:00"]
1;"2019-01-05";["09:00:00-13:00:00","17:00:00-20:00:00"]
2;"2019-01-01";["09:00:00-14:00:00","16:00:00-20:00:00"]
2;"2019-01-02";["09:00:00-14:00:00","16:00:00-20:00:00"]
2;"2019-01-03";["09:00:00-14:00:00","16:00:00-20:00:00"]
2;"2019-01-04";["09:00:00-14:00:00","16:00:00-20:00:00"]
2;"2019-01-05";["09:00:00-14:00:00","16:00:00-20:00:00"]
3;"2019-01-01";["10:00:00-15:00:00","18:00:00-22:00:00"]
3;"2019-01-02";["10:00:00-15:00:00","18:00:00-22:00:00"]
3;"2019-01-03";["10:00:00-15:00:00","18:00:00-22:00:00"]
3;"2019-01-04";["10:00:00-15:00:00","18:00:00-22:00:00"]
3;"2019-01-05";["10:00:00-15:00:00","18:00:00-22:00:00"]
